Date, Avg.Temp(°F),StateName
2112,31.9,Iowa
2201,14.8,Iowa
2202,21.2,Iowa
2203,37.0,Iowa
2204,43.8,Iowa
2205,61.3,Iowa
2206,71.6,Iowa
2207,74.2,Iowa
2208,72.0,Iowa
2209,65.1,Iowa
2210,50.4,Iowa
2211,37.0,Iowa
2212,21.3,Iowa
2301,24.3,Iowa
2001,34.0,Kansas
2002,34.9,Kansas
2003,47.9,Kansas
2004,52.7,Kansas
2005,61.7,Kansas
2006,77.7,Kansas
2007,79.2,Kansas
2008,76.4,Kansas
2009,66.3,Kansas
2010,52.6,Kansas
2011,48.1,Kansas
2012,35.9,Kansas
2101,34.0,Kansas
2102,24.1,Kansas
2103,48.1,Kansas
2104,52.5,Kansas
2105,61.9,Kansas
2106,75.8,Kansas
2107,77.7,Kansas
2108,79.1,Kansas
2109,73.3,Kansas
2110,59.1,Kansas
2111,46.7,Kansas
2112,41.1,Kansas
2201,29.9,Kansas
2202,31.9,Kansas
2203,44.0,Kansas
2204,54.2,Kansas
2205,64.7,Kansas
2206,75.8,Kansas
2207,81.1,Kansas
2208,79.2,Kansas
2209,72.0,Kansas
2210,57.8,Kansas
2211,41.2,Kansas
2212,30.6,Kansas
2301,33.1,Kansas
2001,40.2,Kentucky
2002,39.7,Kentucky
2003,51.4,Kentucky
2004,52.8,Kentucky
2005,62.2,Kentucky
2006,72.6,Kentucky
2007,78.7,Kentucky
2008,74.8,Kentucky
2009,68.3,Kentucky
2010,57.8,Kentucky
2011,49.9,Kentucky
2012,37.3,Kentucky
2101,35.7,Kentucky
2102,32.3,Kentucky
2103,50.4,Kentucky
2104,54.6,Kentucky
2105,62.4,Kentucky
2106,73.4,Kentucky
2107,75.9,Kentucky
2108,76.6,Kentucky
2109,68.9,Kentucky
2110,62.4,Kentucky
2111,43.4,Kentucky
2112,47.6,Kentucky
2201,31.3,Kentucky
2202,38.5,Kentucky
2203,49.1,Kentucky
2204,54.5,Kentucky
2205,67.6,Kentucky
2206,74.0,Kentucky
2207,78.3,Kentucky
2208,75.4,Kentucky
2209,68.2,Kentucky
2210,55.1,Kentucky
2211,47.0,Kentucky
2212,37.8,Kentucky
2301,42.4,Kentucky
2001,53.7,Louisiana
2002,54.0,Louisiana
2003,67.3,Louisiana
2004,66.6,Louisiana
2005,73.0,Louisiana
2006,79.7,Louisiana
2007,82.8,Louisiana
2008,82.2,Louisiana
2009,77.6,Louisiana
2010,68.2,Louisiana
2011,61.9,Louisiana
2012,50.9,Louisiana
2101,50.6,Louisiana
2102,47.8,Louisiana
2103,62.2,Louisiana
2104,64.7,Louisiana
2105,72.3,Louisiana
2106,80.4,Louisiana
2107,81.8,Louisiana
2108,82.6,Louisiana
2109,76.9,Louisiana
2110,71.7,Louisiana
2111,56.4,Louisiana
2112,62.4,Louisiana
2201,48.2,Louisiana
2202,51.5,Louisiana
2203,59.0,Louisiana
2204,67.5,Louisiana
2205,77.0,Louisiana
2206,82.7,Louisiana
2207,84.0,Louisiana
2208,81.9,Louisiana
2209,77.4,Louisiana
2210,66.3,Louisiana
2211,58.0,Louisiana
2212,54.1,Louisiana
2301,56.0,Louisiana
2001,20.8,Maine
2002,20.1,Maine
2003,29.6,Maine
2004,37.7,Maine
2005,51.2,Maine
2006,62.5,Maine
2007,68.9,Maine
2008,65.6,Maine
2009,56.8,Maine
2010,44.7,Maine
2011,37.0,Maine
2012,27.2,Maine
2101,21.4,Maine
2102,18.5,Maine
2103,29.4,Maine
2104,43.2,Maine
2105,52.4,Maine
2106,64.9,Maine
2107,63.7,Maine
2108,68.2,Maine
2109,59.0,Maine
2110,50.2,Maine
2111,35.3,Maine
2112,24.5,Maine
2201,11.0,Maine
2202,19.4,Maine
2203,29.0,Maine
2204,40.6,Maine
2205,54.4,Maine
2206,60.1,Maine
2207,67.8,Maine
2208,67.3,Maine
2209,57.1,Maine
2210,49.2,Maine
2211,37.4,Maine
2212,27.6,Maine
2301,24.3,Maine
2001,39.1,Maryland
2002,41.0,Maryland
2003,49.3,Maryland
2004,51.6,Maryland
2005,60.5,Maryland
2006,72.7,Maryland
2007,80.1,Maryland
2008,76.6,Maryland
2009,67.3,Maryland
2010,59.0,Maryland
2011,50.9,Maryland
2012,38.3,Maryland
2101,35.4,Maryland
2102,34.2,Maryland
2103,47.2,Maryland
2104,55.0,Maryland
2105,62.2,Maryland
2106,73.1,Maryland
2107,77.2,Maryland
2108,77.1,Maryland
2109,69.6,Maryland
2110,62.9,Maryland
2111,44.4,Maryland
2112,43.8,Maryland
2201,30.9,Maryland
2202,38.5,Maryland
2203,46.6,Maryland
2204,53.1,Maryland
2205,64.5,Maryland
2206,72.1,Maryland
2207,77.7,Maryland
2208,76.6,Maryland
2209,68.4,Maryland
2210,54.6,Maryland
2211,48.7,Maryland
2212,36.5,Maryland
2301,42.0,Maryland
2001,32.0,Massachusetts
2002,32.4,Massachusetts
2003,40.2,Massachusetts
2004,43.1,Massachusetts
2005,56.2,Massachusetts
2006,67.6,Massachusetts
2007,74.6,Massachusetts
2008,71.7,Massachusetts
2009,62.8,Massachusetts
2010,52.4,Massachusetts
2011,44.7,Massachusetts
2012,33.1,Massachusetts
2101,28.8,Massachusetts
2102,27.6,Massachusetts
2103,38.3,Massachusetts
2104,47.8,Massachusetts
2105,57.6,Massachusetts
2106,69.2,Massachusetts
2107,69.8,Massachusetts
2108,72.7,Massachusetts
2109,64.8,Massachusetts
2110,56.3,Massachusetts
2111,40.8,Massachusetts
2112,36.0,Massachusetts
2201,23.4,Massachusetts
2202,29.8,Massachusetts
2203,38.0,Massachusetts
2204,46.9,Massachusetts
2205,59.8,Massachusetts
2206,65.5,Massachusetts
2207,73.3,Massachusetts
2208,73.8,Massachusetts
2209,62.4,Massachusetts
2210,52.4,Massachusetts
2211,44.6,Massachusetts
2212,33.2,Massachusetts
2301,35.3,Massachusetts
2001,27.0,Michigan
2002,23.7,Michigan
2003,35.0,Michigan
2004,40.2,Michigan
2005,53.2,Michigan
2006,66.0,Michigan
2007,72.5,Michigan
2008,68.6,Michigan
2009,58.2,Michigan
2010,44.4,Michigan
2011,41.1,Michigan
2012,28.6,Michigan
2101,25.0,Michigan
2102,17.4,Michigan
2103,36.8,Michigan
2104,45.1,Michigan
2105,54.0,Michigan
2106,67.8,Michigan
2107,68.7,Michigan
2108,71.0,Michigan
2109,61.4,Michigan
2110,55.2,Michigan
2111,36.3,Michigan
2112,30.1,Michigan
2201,15.3,Michigan
2202,19.4,Michigan
2203,31.0,Michigan
2204,40.1,Michigan
2205,57.5,Michigan
2206,64.9,Michigan
2207,69.2,Michigan
2208,68.2,Michigan
2209,60.9,Michigan
2210,48.3,Michigan
2211,38.6,Michigan
2212,26.9,Michigan
2301,28.2,Michigan
2001,14.1,Minnesota
2002,14.0,Minnesota
2003,30.4,Minnesota
2004,39.4,Minnesota
2005,53.5,Minnesota
2006,67.7,Minnesota
2007,71.3,Minnesota
2008,68.2,Minnesota
2009,56.5,Minnesota
2010,38.9,Minnesota
2011,33.9,Minnesota
2012,21.0,Minnesota
2101,18.2,Minnesota
2102,6.5,Minnesota
2103,35.6,Minnesota
2104,42.3,Minnesota
2105,55.1,Minnesota
2106,69.9,Minnesota
2107,71.1,Minnesota
2108,69.4,Minnesota
2109,61.6,Minnesota
2110,51.5,Minnesota
2111,32.2,Minnesota
2112,18.2,Minnesota
2201,3.6,Minnesota
2202,6.5,Minnesota
2203,26.2,Minnesota
2204,35.6,Minnesota
2205,55.4,Minnesota
2206,66.2,Minnesota
2207,69.7,Minnesota
2208,67.3,Minnesota
2209,60.2,Minnesota
2210,47.0,Minnesota
2211,30.1,Minnesota
2212,12.6,Minnesota
2301,15.4,Minnesota
2001,50.1,Mississippi
2002,51.1,Mississippi
2003,64.1,Mississippi
2004,62.9,Mississippi
2005,70.3,Mississippi
2006,78.1,Mississippi
2007,82.1,Mississippi
2008,80.2,Mississippi
2009,75.3,Mississippi
2010,65.8,Mississippi
2011,58.4,Mississippi
2012,47.0,Mississippi
2101,46.6,Mississippi
2102,44.2,Mississippi
2103,60.0,Mississippi
2104,61.8,Mississippi
2105,69.9,Mississippi
2106,78.1,Mississippi
2107,80.4,Mississippi
2108,80.8,Mississippi
2109,74.8,Mississippi
2110,68.3,Mississippi
2111,52.7,Mississippi
2112,58.6,Mississippi
2201,44.4,Mississippi
2202,48.9,Mississippi
2203,57.1,Mississippi
2204,64.0,Mississippi
2205,75.1,Mississippi
2206,81.4,Mississippi
2207,83.0,Mississippi
2208,80.2,Mississippi
2209,75.1,Mississippi
2210,63.1,Mississippi
2211,55.0,Mississippi
2212,50.2,Mississippi
2301,52.3,Mississippi
2001,34.5,Missouri
2002,35.4,Missouri
2003,48.8,Missouri
2004,53.1,Missouri
2005,62.0,Missouri
2006,75.1,Missouri
2007,79.2,Missouri
2008,74.2,Missouri
2009,67.3,Missouri
2010,53.6,Missouri
2011,49.6,Missouri
2012,36.3,Missouri
2101,33.6,Missouri
2102,24.4,Missouri
2103,49.9,Missouri
2104,54.2,Missouri
2105,62.3,Missouri
2106,74.9,Missouri
2107,76.7,Missouri
2108,77.4,Missouri
2109,71.5,Missouri
2110,60.5,Missouri
2111,45.5,Missouri
2112,44.7,Missouri
2201,28.4,Missouri
2202,32.6,Missouri
2203,46.2,Missouri
2204,53.1,Missouri
2205,65.9,Missouri
2206,75.3,Missouri
2207,79.7,Missouri
2208,76.5,Missouri
2209,69.5,Missouri
2210,56.0,Missouri
2211,44.3,Missouri
2212,33.1,Missouri
2301,37.3,Missouri
2001,23.4,Montana
2002,25.6,Montana
2003,31.6,Montana
2004,38.3,Montana
2005,50.6,Montana
2006,59.3,Montana
2007,65.6,Montana
2008,67.4,Montana
2009,57.0,Montana
2010,39.3,Montana
2011,32.8,Montana
2012,28.5,Montana
2101,26.7,Montana
2102,13.7,Montana
2103,36.1,Montana
2104,40.5,Montana
2105,48.6,Montana
2106,65.3,Montana
2107,72.5,Montana
2108,64.7,Montana
2109,58.3,Montana
